都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
270008,,大阪府,,ｓｈａｒｅ,,share,大阪府大阪市北区堂山町 １６－４ パールレジャービルＢ１号,,34.7039606,135.5030292,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,タバックケータリングサービス,,Tabac Catering Service,大阪府大阪市東淀川区豊里 ７丁目３２－１１ 第二共和荘号１０１号,,34.7463653,135.5406942,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ｈａｉｒｐｌａｃｅａｐｅｇｏ,,hairplaceapego,大阪府堺市東区北野田 １０８４ ベルヒル北野田施設棟１２９号,,34.5232403,135.5416219,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,道頓堀どむす相川店,,Dotombori domus-aikawaten,大阪府大阪市東淀川区相川 ２丁目６－８,,34.7575442,135.5342372,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,焼肉　炙,,Yakiniku Aburi,大阪府大阪市東淀川区小松 １丁目１０－２２ エクセレント上新１Ｆ,,34.7520264,135.5357942,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,一福,,Ichifuku,大阪府大阪市住之江区粉浜 ２丁目１１－２１,,34.6175103,135.4911244,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,サロン・ド・ファンタジア　稲葉店,,Salon de Fantasia Inabaten,大阪府茨木市稲葉町 １１－１７ アーク茨木１階１０２号,,34.8112428,135.5769428,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ＮＴＬＣランゲージグループ,,N.T.L.C. Language Group,大阪府大阪市都島区片町 １丁目７－１９ 都島フレールビル２０１号,,34.6925244,135.5241081,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,サントリー・オールド・バー・江坂店,,SUNTORY OLD BAR Esaka,大阪府吹田市豊津町 ９－４０ 江坂東急ビル地下１階　オールド・バー,,34.7591544,135.4964097,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ｍｏｕｓａｈａｉｒ,,mousahair,大阪府吹田市 山田西４丁目２－１８ サンノーブル山本２０３,,34.8049019,135.5168208,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,有限会社森下自動車,,Morishita Auto Ltd.,大阪府阪南市自然田 １４９４,,34.3501894,135.2521139,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,なにわ翁,,Naniwaokina,大阪府大阪市北区 西天満４丁目１－１８,,34.6962367,135.5059211,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,満点個別,,Mantenkobetsu,大阪府松原市東新町 ４丁目５－５,,34.5750711,135.5420567,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,個別指導のハロ・ウィン中百舌鳥校,,Kobetsu-shido-no Haroin Nakamozu,大阪府堺市北区百舌鳥梅町 ３丁２４－７,,34.5522203,135.5010969,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,グローリーナスカ株式会社　大阪ショールーム,,GLORY NASCA Ltd. Osaka showroom,大阪府大阪市浪速区元町 ２丁目６－２１,,34.6621131,135.4944981,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,株式会社ダックス不動産,,DACHS REAL ESTATE,大阪府岸和田市荒木町 １丁目７－１６,,34.4734664,135.3969458,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,あっちち本舗,,Octopus Dumpling Atchichi Hompo,大阪府大阪市西成区山王 ３丁目４－１７,,34.6430883,135.5057861,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
