都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
472018,,沖縄県,那覇市,今酒屋米丸,,,那覇市 港町2-3-8,,26.2432682,127.6806566,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,沖縄鮮魚卸琉通協同組合,,,那覇市 港町1-1-18,,26.251666,127.720086,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,居酒屋 イカリ亭,,,那覇市 曙1-20-25,,26.238608,127.683046,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,M’sニューポート,,,那覇市 曙2-1-1,,26.2409594,127.6891955,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,バリバリ,,,那覇市 曙1-13-17,1F,26.2367048,127.681789,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,アクア釣り具,,,那覇市 曙3-11-1,,26.2414468,127.6848348,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,うさまる食堂(曙店),,,那覇市 曙2-25-22,,26.2392343,127.6812606,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ポートサイド安謝給油所,,,那覇市 曙3-10-7,,26.2415084,127.6852373,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ほっとステーション 那覇安謝店,,,那覇市 曙3-6-4,,26.241463,127.687313,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,潜水屋,,,那覇市 曙3-11-19,,26.241618,127.683513,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ビッグ開発 本店,,,那覇市 曙3-6-1,,26.241429,127.687865,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,勉強カフェ 那覇ラーニングスタジオ,,,那覇市 曙2-3-12,2F,26.2409622,127.687056,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,沖縄銀行 曙町支店,,,那覇市 曙2-4-1-101,,26.240837,127.68666,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,琉球銀行 安謝支店,,,那覇市 曙3-2-1,,26.2414478,127.6890879,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,クオリティーモンド 工場,,,那覇市 曙1-4-7,,26.2324517,127.6820799,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,火鉢屋 新都心店,,,那覇市 安謝2-1-8,2F,26.2340971,127.6921114,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,hair make emu’(ヘアーメイクエムダッシュ),,,那覇市 安謝1-9-16,フィールドストーン,26.234963,127.693954,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,おもろ殿内,,,那覇市 安謝1-2-3,,26.2323695,127.6950438,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,オカノ,,,那覇市 安謝1-23-8,,26.2384293,127.6945508,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,オカノ 第2ビル,,,那覇市 安謝1-22-33,,26.2384293,127.6945508,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,atelier [es] HAIRDESIGN,,,那覇市 安謝2-2-1,1F,26.2344069,127.6915816,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,KO菜YA 新都心店,,,那覇市 安謝2-4-12,,26.235392,127.688624,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,安喜,,,那覇市 安謝260,,26.2400127,127.685042,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,近代PR,,,那覇市 安謝212,,26.2403597,127.6879389,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,TOMATO&ONION 那覇安岡店,,,那覇市 銘苅3-22-25,,26.2342209,127.7011426,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,スウィング沖縄,,,那覇市 銘苅3-12-39,,26.2344187,127.7004889,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,モスバーガー 那覇新都心店,,,那覇市 銘苅2-1-22,,26.2298854,127.6985354,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,とんかつ太郎 新都心店,,,那覇市 銘苅1-10-3,,26.2297055,127.6990985,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ワークベスト 銘苅店,,,那覇市 銘苅266-1,,26.2360846,127.6992634,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ビッグワン 那覇店 2,,,那覇市 銘苅3-11-4,,26.235394,127.699817,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ビッグワン 那覇店 3,,,那覇市 銘苅3-11-4,,26.235394,127.699817,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,カラオケビレッジ トレヴィ 新都心店,,,那覇市 銘苅1-11-18,,26.231947,127.702059,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,tasuichi,,,那覇市 銘刈199-1,1F,26.233941,127.702658,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,北大地 築地本家,,,那覇市 銘苅310,,26.2370997,127.6969757,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,元氣堂 新都心,,,那覇市 銘苅2-4-35,アーバンプラネット Earthビル1F,26.2309322,127.7000227,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,カメラのキタムラ 那覇/新都心店,,,那覇市 銘苅2-1-1,,26.229225,127.69762,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ビッグワン 那覇店,,,那覇市 銘苅3-11-4,,26.235394,127.699817,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,MARBLE☆STAR KIDS SHOP,,,那覇市 銘苅1-11-8,,26.2313251,127.7014003,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,はねじ歯科クリニック,,,那覇市 銘苅1-3-41,レゼルアッシュ2B,26.228617,127.699048,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,ぽっぽやはうす,,,那覇市 銘苅180-1,3F,26.233596,127.7026,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,居酒屋 二号線,,,那覇市 銘苅335-1,,26.2377739,127.6964451,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
472018,,沖縄県,那覇市,琉球銀行 那覇新都心支店,,,那覇市 銘苅2-2-1,,26.2296714,127.6973446,沖縄県,,,Be.Okinawa_Free_Wi-Fi,,,
