Days,Treatment regimen,Replicates,Total volume
7,Glc,Replicate0,63.342
11,Glc,Replicate0,93.0
16,Glc,Replicate0,107.14
21,Glc,Replicate0,195.65
25,Glc,Replicate0,435.299
28,Glc,Replicate0,753.145
31,Glc,Replicate0,829.238
7,Glc,Replicate1,44.24
11,Glc,Replicate1,128.86
16,Glc,Replicate1,161.2
21,Glc,Replicate1,346.6
25,Glc,Replicate1,602.55
28,Glc,Replicate1,729.96
31,Glc,Replicate1,995.544
7,Glc,Replicate2,40.635
11,Glc,Replicate2,74.76
16,Glc,Replicate2,94.64
21,Glc,Replicate2,193.2
25,Glc,Replicate2,182.208
28,Glc,Replicate2,224.796
31,Glc,Replicate2,348.082
7,Glc,Replicate3,40.5
11,Glc,Replicate3,51.246
16,Glc,Replicate3,86.213
21,Glc,Replicate3,190.94
25,Glc,Replicate3,357.995
28,Glc,Replicate3,496.496
31,Glc,Replicate3,523.584
7,Glc,Replicate4,34.02
11,Glc,Replicate4,49.725
16,Glc,Replicate4,101.25
21,Glc,Replicate4,165.38
25,Glc,Replicate4,328.135
28,Glc,Replicate4,849.713
31,Glc,Replicate4,1288.87
7,Glc,Replicate5,31.509
11,Glc,Replicate5,52.173
16,Glc,Replicate5,159.64
21,Glc,Replicate5,225.63
25,Glc,Replicate5,467.016
28,Glc,Replicate5,900.966
31,Glc,Replicate5,1193.4
7,Lac,Replicate0,49.266
11,Lac,Replicate0,62.23
16,Lac,Replicate0,70.13
21,Lac,Replicate0,110.7
25,Lac,Replicate0,190.275
28,Lac,Replicate0,192.192
31,Lac,Replicate0,209.273
7,Lac,Replicate1,47.56
11,Lac,Replicate1,67.57
16,Lac,Replicate1,67.32
21,Lac,Replicate1,68.45
25,Lac,Replicate1,97.755
28,Lac,Replicate1,202.608
31,Lac,Replicate1,311.891
7,Lac,Replicate2,42.021
11,Lac,Replicate2,23.81
16,Lac,Replicate2,30.51
21,Lac,Replicate2,33.48
25,Lac,Replicate2,79.8
28,Lac,Replicate2,138.528
31,Lac,Replicate2,175.275
7,Lac,Replicate3,38.8455
11,Lac,Replicate3,55.99
16,Lac,Replicate3,90.11
21,Lac,Replicate3,135.2
25,Lac,Replicate3,121.52
28,Lac,Replicate3,182.325
31,Lac,Replicate3,390.891
7,Lac,Replicate4,37.996
11,Lac,Replicate4,63.91
16,Lac,Replicate4,105.1
21,Lac,Replicate4,239.2
25,Lac,Replicate4,348.174
28,Lac,Replicate4,403.172
31,Lac,Replicate4,542.8
7,Lac,Replicate5,29.4
11,Lac,Replicate5,21.48
16,Lac,Replicate5,30.63
21,Lac,Replicate5,49.51
25,Lac,Replicate5,58.174
28,Lac,Replicate5,74.382
31,Lac,Replicate5,105.6
7,Untreated,Replicate0,51.792
11,Untreated,Replicate0,68.244
16,Untreated,Replicate0,87.906
21,Untreated,Replicate0,198.72
25,Untreated,Replicate0,361.725
28,Untreated,Replicate0,616.896
31,Untreated,Replicate0,946.341
7,Untreated,Replicate1,47.124
11,Untreated,Replicate1,53.475
16,Untreated,Replicate1,83.125
21,Untreated,Replicate1,109.668
25,Untreated,Replicate1,286.848
28,Untreated,Replicate1,700.772
31,Untreated,Replicate1,1039.29
7,Untreated,Replicate2,42.7
11,Untreated,Replicate2,64.5685
16,Untreated,Replicate2,96.6875
21,Untreated,Replicate2,163.875
25,Untreated,Replicate2,312.223
28,Untreated,Replicate2,387.75
31,Untreated,Replicate2,398.772
7,Untreated,Replicate3,41.5245
11,Untreated,Replicate3,46.2
16,Untreated,Replicate3,72.1875
21,Untreated,Replicate3,99.0
25,Untreated,Replicate3,297.25
28,Untreated,Replicate3,541.728
31,Untreated,Replicate3,670.842
7,Untreated,Replicate4,40.131
11,Untreated,Replicate4,110.3375
16,Untreated,Replicate4,249.075
21,Untreated,Replicate4,273.375
25,Untreated,Replicate4,579.638
28,Untreated,Replicate4,660.66
31,Untreated,Replicate4,720.828
7,Untreated,Replicate5,35.475
11,Untreated,Replicate5,84.18
16,Untreated,Replicate5,158.4
21,Untreated,Replicate5,377.715
25,Untreated,Replicate5,492.984
28,Untreated,Replicate5,661.85
31,Untreated,Replicate5,1227.76
