WT,600 nM,300 nM,150 nM,75 nM
0.0,0.00013594,0.00388096,-0.0005035,0.00035566
0.2,0.00026368,0.00406703,-9.13e-05,0.00111984
0.4,0.00044413,0.00426724,0.00030213,0.00180957
0.6,0.00067728,0.00448158,0.00067676,0.00242484
0.8,0.00096316,0.00471005,0.00103259,0.00296565
1.0,0.00130174,0.00495266,0.00136962,0.00343201
1.2,0.00169304,0.0052094,0.00168785,0.00382391
1.4,0.00213705,0.00548027,0.00198727,0.00414135
1.6,0.00263377,0.00576528,0.0022679,0.00438433
1.8,0.00318321,0.00606442,0.00252972,0.00455286
2.0,0.00402294,0.0059344,0.00278808,0.00458118
2.2,0.00496557,0.00591559,0.00300048,0.00452757
2.4,0.00583285,0.00602352,0.0032656,0.0043872
2.6,0.00652992,0.00622272,0.00361351,0.00418474
2.8,0.00703231,0.00657133,0.00402841,0.00387892
3.0,0.00741063,0.00710447,0.00455615,0.00361129
3.2,0.00760677,0.00779159,0.00500765,0.00339814
3.4,0.0076953,0.00861216,0.00530987,0.00325856
3.6,0.00773825,0.00953655,0.00539904,0.00315508
3.8,0.00782723,0.01034219,0.00533127,0.0031426
4.0,0.0079398,0.01098054,0.00521322,0.00317916
4.2,0.00803942,0.01146891,0.00531825,0.00336531
4.4,0.00824222,0.01172216,0.00566568,0.00363263
4.6,0.00868588,0.01168353,0.00613657,0.00398816
4.8,0.00931966,0.0115279,0.00658568,0.00446704
5.0,0.01011086,0.01147418,0.00697047,0.00501848
5.2,0.01110642,0.01160073,0.00720945,0.00546639
5.4,0.01224025,0.0118912,0.00723414,0.00576154
5.6,0.01331562,0.01224833,0.00705907,0.00591594
5.8,0.01422463,0.01255774,0.00680448,0.005882
6.0,0.01481701,0.01274061,0.00658794,0.0056681
6.2,0.01516796,0.0127854,0.00643812,0.00527596
6.4,0.01538624,0.01277962,0.00634402,0.00480954
6.6,0.01564347,0.01281379,0.00626756,0.0044278
6.8,0.01608438,0.01304589,0.00608174,0.00416309
7.0,0.0167973,0.01352977,0.00570023,0.00408247
7.2,0.01767474,0.01418711,0.00513427,0.00422921
7.4,0.0185005,0.01486381,0.00462564,0.00459507
7.6,0.01909367,0.01561179,0.00440304,0.00508371
7.8,0.01942578,0.01636976,0.00458274,0.00577165
8.0,0.01970202,0.01695229,0.00504923,0.0065545
8.2,0.0200426,0.01734473,0.00582137,0.00736805
8.4,0.02044034,0.01769159,0.00671194,0.00817724
8.6,0.02092865,0.01795535,0.00767553,0.00884293
8.8,0.02149346,0.01812492,0.00871415,0.00919164
9.0,0.02200528,0.01820662,0.00985537,0.00920339
9.2,0.02230042,0.01823299,0.01092799,0.0089353
9.4,0.02241347,0.01823186,0.01194155,0.00837775
9.6,0.02249827,0.01819759,0.01282108,0.00763881
9.8,0.02273529,0.01814224,0.0133371,0.0068339
10.0,0.02313518,0.01822487,0.01343263,0.00616752
10.2,0.02367774,0.01853869,0.01325471,0.0056922
10.4,0.02438198,0.0190165,0.01282553,0.00554093
10.6,0.02504363,0.01963662,0.01225956,0.00572375
